solver_name,task,benchmark_name,instance,answer
asc_01,DS-PR,iccma17,afinput_exp_cycles_indvary1_step3_batch_yyy02,NA
asc_01,DS-PR,iccma17,afinput_exp_cycles_indvary2_step1_batch_yyy03,NO
asc_01,DS-PR,iccma17,afinput_exp_cycles_indvary2_step1_batch_yyy04,NO
asc_01,DS-PR,iccma17,afinput_exp_cycles_indvary2_step1_batch_yyy06,NO
asc_01,DS-PR,iccma17,afinput_exp_cycles_indvary2_step1_batch_yyy08,NO
asc_01,DS-PR,iccma17,afinput_exp_cycles_indvary2_step1_batch_yyy10,NO
asc_01,DS-PR,iccma17,afinput_exp_cycles_indvary3_step1_batch_yyy04,NO
asc_01,DS-PR,iccma17,aircoach_20130716_1324.gml.50,NA
asc_01,DS-PR,iccma17,anaheim-resort-transportation_20151217_1213.gml.50,NA
asc_01,DS-PR,iccma17,arlington_va_2016-01.gml.20,NA
asc_01,DS-PR,iccma17,BA_100_40_3,NA
asc_01,DS-PR,iccma17,BA_100_40_5,NA
asc_01,DS-PR,iccma17,BA_100_50_1,NA
asc_01,DS-PR,iccma17,BA_100_70_1,NA
asc_01,DS-PR,iccma17,BA_100_80_4,NA
asc_01,DS-PR,iccma17,BA_100_80_4.arg2,NA
asc_01,DS-PR,iccma17,BA_100_90_2,NA
asc_01,DS-PR,iccma17,BA_100_90_2.arg2,NA
asc_01,DS-PR,iccma17,BA_120_40_4,NA
asc_01,DS-PR,iccma17,BA_120_40_4.arg2,NA
asc_01,DS-PR,iccma17,BA_120_50_4,NA
asc_01,DS-PR,iccma17,BA_120_80_3,NA
asc_01,DS-PR,iccma17,BA_120_80_3.arg2,NA
asc_01,DS-PR,iccma17,BA_140_30_3,NA
asc_01,DS-PR,iccma17,BA_140_30_4,NA
asc_01,DS-PR,iccma17,BA_140_70_4,NA
asc_01,DS-PR,iccma17,BA_140_70_4.arg2,NA
asc_01,DS-PR,iccma17,BA_160_20_3,NA
asc_01,DS-PR,iccma17,BA_160_30_2,NA
asc_01,DS-PR,iccma17,BA_160_70_2,NA
asc_01,DS-PR,iccma17,BA_160_70_2.arg2,NA
asc_01,DS-PR,iccma17,BA_160_80_2,NA
asc_01,DS-PR,iccma17,BA_160_80_2.arg2,NA
asc_01,DS-PR,iccma17,BA_160_90_1,NA
asc_01,DS-PR,iccma17,BA_180_20_1,NA
asc_01,DS-PR,iccma17,BA_180_30_2,NA
asc_01,DS-PR,iccma17,BA_180_30_4,NA
asc_01,DS-PR,iccma17,BA_180_30_5,NA
asc_01,DS-PR,iccma17,BA_180_80_2,NA
asc_01,DS-PR,iccma17,BA_180_80_3,NA
asc_01,DS-PR,iccma17,BA_180_80_3.arg2,NA
asc_01,DS-PR,iccma17,BA_180_90_5,NA
asc_01,DS-PR,iccma17,BA_180_90_5.arg2,NA
asc_01,DS-PR,iccma17,BA_200_20_4,NA
asc_01,DS-PR,iccma17,BA_200_30_2,NA
asc_01,DS-PR,iccma17,BA_200_50_3,NA
asc_01,DS-PR,iccma17,BA_200_80_1,NA
asc_01,DS-PR,iccma17,BA_60_60_3,NA
asc_01,DS-PR,iccma17,BA_60_80_1,NA
asc_01,DS-PR,iccma17,BA_60_80_5,NA
asc_01,DS-PR,iccma17,BA_60_90_4,NA
asc_01,DS-PR,iccma17,BA_80_50_1,NA
asc_01,DS-PR,iccma17,BA_80_70_3,NA
asc_01,DS-PR,iccma17,BA_80_70_5,NA
asc_01,DS-PR,iccma17,BA_80_80_2,NA
asc_01,DS-PR,iccma17,BA_80_80_2.arg2,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-02.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-02.pddl.3.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-02.pddl.3.cnf.arg2,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-02.pddl.4.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-02.pddl.4.cnf.arg2,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-04.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-06.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-06.pddl.6.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-07.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-07.pddl.1.cnf.arg2,NA
