solver_name,solver_version,solver_path,solver_id,instance,format,task,timed_out,additional_argument,runtime,result,exit_with_error,error_code,error,cut_off,benchmark_name,benchmark_format,benchmark_ext_additional,benchmark_path,benchmark_dynamic_files,benchmark_id,benchmark_has_references,benchmark_references_path,benchmark_extension_references,benchmark_meta_data,repetition,tag
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,BA_180_80_4,i23,DS-PR,False,56,0.014504536986351013,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/BA_180_80_4_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,BA_180_80_5,i23,DS-PR,False,57,0.01428784430027008,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/BA_180_80_5_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,BA_180_90_2,i23,DS-PR,False,28,0.01526990532875061,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/BA_180_90_2_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,BA_200_0_3,i23,DS-PR,False,93,0.014466360211372375,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/BA_200_0_3_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,BA_200_60_4,i23,DS-PR,False,48,0.014662742614746094,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/BA_200_60_4_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,BA_200_70_3,i23,DS-PR,False,134,0.013499855995178223,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/BA_200_70_3_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_100_20_4,i23,DS-PR,False,79,0.014581948518753052,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_100_20_4_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_100_90_9,i23,DS-PR,False,30,0.02156740427017212,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_100_90_9_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_200_20_3,i23,DS-PR,False,66,0.022843077778816223,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_200_20_3_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_200_20_5,i23,DS-PR,False,129,0.023454606533050537,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_200_20_5_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_200_70_1,i23,DS-PR,False,170,0.03991377353668213,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_200_70_1_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_300_20_2,i23,DS-PR,False,137,0.023982107639312744,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_300_20_2_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_300_30_4,i23,DS-PR,False,93,0.02232477068901062,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_300_30_4_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_300_40_3,i23,DS-PR,False,132,0.03941625356674194,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_300_40_3_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_300_50_8,i23,DS-PR,False,46,0.0402795672416687,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_300_50_8_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_300_60_4,i23,DS-PR,False,88,0.04008433222770691,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_300_60_4_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_400_60_3,i23,DS-PR,False,46,0.07235336303710938,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_400_60_3_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
asc_01,1.0,/home/lars/solvers/ascDSPR/build/asc_1/ascDSPR_ASC1,13,ER_400_70_7,i23,DS-PR,False,351,0.0724964588880539,/home/lars/probo2/src/results/ASC_ICCMA25_3/ASC1/DS-PR/ICCMA25/ER_400_70_7_1.out,False,,,1200,ICCMA25,['i23'],af.arg,/home/lars/benchmarks/ICCMA25,False,2,False,,,{},1,ASC_ICCMA25_3
