tag,task,benchmark_id,solver_id,solver_name,solver_version,benchmark_name,IPC,PAR10,PAR2
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,1,mu-toksia-glucose,ICCMA23,iccma15,179.76252596183022,4.331101906097804,4.331101906097804
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,6,asc_01,1.0,iccma15,192.0,0.0956989895397176,0.0956989895397176
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,7,asc_02,1.0,iccma15,192.0,0.09631286460595823,0.09631286460595823
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,8,asc_03,1.0,iccma15,192.0,0.10001042368821798,0.10001042368821798
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,9,asc_04,1.0,iccma15,192.0,0.09965377471720177,0.09965377471720177
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,10,asc_05,1.0,iccma15,189.5688906900342,0.4470470102969557,0.4470470102969557
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,11,asc_06,1.0,iccma15,184.94461324276347,1.548827496667703,1.548827496667703
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,12,asc_07,1.0,iccma15,183.69146821747688,1.6992282629944384,1.6992282629944384
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,13,asc_08,1.0,iccma15,185.02049901118502,1.5393594038517524,1.5393594038517524
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,14,asc_09,1.0,iccma15,191.00114377577924,0.2954358996357769,0.2954358996357769
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,15,asc_10,1.0,iccma15,190.97595175598366,0.298060479418685,0.298060479418685
