tag,task,benchmark_id,solver_id,solver_name,solver_version,benchmark_name,sum,mean,solved,errors,timeouts,coverage
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,11,asc_06,1.0,iccma17,39588.40918292105,113.10974052263158,327.0,0.0,23.0,93.42857142857143
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,12,asc_07,1.0,iccma17,38214.57349738479,109.18449570681368,327.0,0.0,23.0,93.42857142857143
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,13,asc_08,1.0,iccma17,38847.56804598868,110.99305155996765,327.0,0.0,23.0,93.42857142857143
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,14,asc_09,1.0,iccma17,35885.391467407346,102.52968990687813,329.0,0.0,21.0,94.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,15,asc_10,1.0,iccma17,35919.63586990535,102.62753105687244,329.0,0.0,21.0,94.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,1,mu-toksia-glucose,ICCMA23,iccma15,831.5715659707785,4.331101906097804,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,6,asc_01,1.0,iccma15,18.37420599162578,0.0956989895397176,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,7,asc_02,1.0,iccma15,18.49207000434398,0.09631286460595823,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,8,asc_03,1.0,iccma15,19.202001348137852,0.10001042368821798,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,9,asc_04,1.0,iccma15,19.13352474570274,0.09965377471720177,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,10,asc_05,1.0,iccma15,85.8330259770155,0.4470470102969557,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,11,asc_06,1.0,iccma15,297.374879360199,1.548827496667703,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,12,asc_07,1.0,iccma15,326.2518264949322,1.6992282629944384,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,13,asc_08,1.0,iccma15,295.5570055395365,1.5393594038517524,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,14,asc_09,1.0,iccma15,56.72369273006916,0.2954358996357769,192.0,0.0,0.0,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,15,asc_10,1.0,iccma15,57.22761204838753,0.298060479418685,192.0,0.0,0.0,100.0
